Date,Forecast,Upper_Band,Lower_Band,Change_Pct
2025-01-01,90406.79,92138.14,88675.44,-3.23
2025-01-02,89625.16,92052.49,87197.83,-4.07
2025-01-03,88683.92,91625.56,85742.28,-5.08
2025-01-04,87666.83,91024.58,84309.07,-6.17
2025-01-05,86618.35,90327.54,82909.17,-7.29
2025-01-06,85562.72,89576.41,81549.03,-8.42
2025-01-07,84513.81,88795.94,80231.67,-9.54
2025-01-08,83480.09,88001.89,78958.29,-10.65
2025-01-09,82467.21,87205.12,77729.31,-11.73
2025-01-10,81479.16,86413.51,76544.8,-12.79
2025-01-11,80518.77,85632.96,75404.57,-13.82
2025-01-12,79588.14,84868.0,74308.27,-14.81
2025-01-13,78688.68,84122.03,73255.33,-15.78
2025-01-14,77821.28,83397.58,72244.97,-16.71
2025-01-15,76986.33,82696.42,71276.24,-17.6
2025-01-16,76183.87,82019.75,70347.98,-18.46
2025-01-17,75413.58,81368.25,69458.91,-19.28
2025-01-18,74674.89,80742.18,68607.6,-20.07
2025-01-19,73967.02,80141.47,67792.56,-20.83
2025-01-20,73289.02,79565.81,67012.23,-21.56
2025-01-21,72639.83,79014.65,66265.0,-22.25
2025-01-22,72018.29,78487.3,65549.28,-22.92
2025-01-23,71423.22,77982.97,64863.48,-23.55
2025-01-24,70853.4,77500.78,64206.03,-24.16
2025-01-25,70307.6,77039.78,63575.41,-24.75
2025-01-26,69784.61,76599.05,62970.17,-25.31
2025-01-27,69283.27,76177.63,62388.91,-25.84
2025-01-28,68802.42,75774.57,61830.27,-26.36
2025-01-29,68340.98,75388.95,61293.01,-26.85
2025-01-30,67897.89,75019.87,60775.91,-27.33
